smiles,is_potent_any,split
C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)N2CCCC2C(=O)O)cc1,1,train
CC(=O)N1CSC[C@@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cc(Cl)cc2Cl)cc1)C(=O)O,1,train
CCN(Cc1ccccc1)C(=O)N1C(=O)C[C@@H]1Cc1ccccc1,0,train
Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2,1,train
O=c1cc(Cc2ccc(O)c(O)c2)oc2cc(O)ccc12,1,train
CCCCC(=O)N[C@@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)C2(CCc3ccc(Br)cc3C2)NC1=O,1,train
Nc1nc(N)c2nc(Cc3ccccc3)[nH]c2n1,1,train
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1,train
CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1ccc(N)nc1,1,train
Cc1cc(C)cc(Oc2cncc3sc(C(N)=O)cc23)c1,1,train
CC(C)[C@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)NC(=O)OCCc1ccccn1,1,train
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1,train
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(N)cc1)NC(=O)[C@H](C)N)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,0,train
N#CCc1ccc(NC(=O)/C(C#N)=C(\O)C2CC2)cc1,0,train
O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(Cl)cc2)c1,1,train
Cc1ccc(Nc2ncc(-c3ccccc3)s2)nc1,1,train
Nc1nc(O)c2nn(-c3cccc(C(=O)NC[C@H]4CCCC[C@@H]4O)c3)nc2n1,1,train
O=C(CCCCCCNC(=O)C(F)(F)F)Nc1ccccc1,0,train
CCc1ccc2c(c1)c(OC)cc1nc(C(=O)c3ccccc3)cn12,1,train
O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,1,train
CCCCCCCCC(=O)N1CSC[C@H]1C(=O)N1CCCC1,1,train
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)N)C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@@H](CCCN=C(N)N)C(N)=O,0,train
Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1-n1ccccc1=O,1,train
CCCCOc1ccc(S(=O)(=O)N2C/C(=N\N3CCNCC3)C[C@@H]2C(=O)NO)cc1,1,train
CC[C@H](C)[C@H](NC(=O)[C@@H](NC[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)c1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)C(N)[C@H](CC(C)C)C(C)=O,1,train
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,0,train
Cc1cccc2c1C1(C34C[C@H]5C(=O)N[C@@H](Cc6ccccc6)C(=O)N5[C@H]3Nc3ccccc34)C[C@H]3C(=O)N[C@@H](Cc4ccccc4)C(=O)N3[C@H]1N2,1,train
CCc1c(OC)nc2nc(C(=O)c3ccccc3)cn2c1CC,1,train
CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1O,1,train
C/C(COc1c(-c2ccccc2)c(O)nc2cc(Cl)ccc12)=N\O,1,train
c1ccc(-c2nc3c(-c4nc5ccccc5o4)cccc3o2)cc1,0,train
CCc1cc2c3[nH]c4cc(OCc5ccccc5)ccc4c3cc[n+]2nc1CC,1,train
CS(=O)(=O)Nc1cc2c3ccccc3nc-2c[nH]1,0,train
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)N)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,1,train
C/C=C/C=C/C=C/C(=O)O[C@@H]1C=C2COC(O)[C@]2(O)[C@@]2(C)CCCC(C)(C)C12,0,train
NS(=O)(=O)Oc1ccc(Br)cc1,0,train
COC(=O)COc1cccn2c(Cc3ccccc3-c3ccccc3)c(C(C)C)c(C(=O)C(N)=O)c12,1,train
COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)c(OC)c1,1,train
CC(=O)Nc1cc(-c2[nH]c(-c3ccc(F)c(NC(C)=O)c3)c3c2C2CCC3C2)ccc1F,1,train
c1ccc(C(O[C@H]2C[C@H]3CC[C@@H](C2)O3)c2ccccc2)cc1,1,train
CCCCc1cc2c(=O)cc(C(=O)O)[nH]c2c2c(=O)cc(C(=O)O)[nH]c12,0,train
COC(=O)c1ccc(C2=CC(=O)C(=O)c3ccccc32)cc1,1,train
O=C(CCCn1c2c(c3ccccc31)C(=O)CN1CCCCC21)NC1CCCC1,0,train
COc1ccc(S(=O)(=O)N2CCN(C(=O)C3CCCCC3)CC2C(=O)NO)cc1,1,train
COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1,1,train
Nc1cccc(-c2ccc(CCN3CCN(c4cccc5cccnc45)CC3)cc2)n1,1,train
Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,1,train
CC(C)(C)O/N=C1/C[C@H](C(=O)NO)N(S(=O)(=O)c2ccc(Oc3ccncc3)cc2)C1,1,train
CNC(=O)c1cc2c(Oc3ccc(/C=C/C(=O)NCCc4c[nH]cn4)cc3)cncc2s1,1,train
CCC(=O)C1C(c2ccc(C(C)C)cc2)CC2CCC1N2C,1,train
Oc1ccccc1-c1nc2c(-c3nc4ccccc4o3)cccc2o1,0,train
Nc1c(-c2ccccc2)c(O)nc2cc(Cl)ccc12,1,train
COC(=O)[C@H](Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)CNC(=O)[C@H](N=C(N)N)C(C)C,0,train
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1[nH]c2c(OCCCCCN)cccc2c1CCCCCCN)C(=O)N[C@@H](CC(C)C)C(=O)O,1,train
C=C(Br)C(=O)Nc1ccc2oc(C(=O)Nc3cc(C(=O)Nc4cc(C(=O)Nc5cc(C(=O)NCCC(=N)N)n(C)c5)n(C)c4)n(C)c3)cc2c1,1,train
CC[N+](C)(CC)CC(=O)CCN1C(=O)CCC1=O,0,train
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1,train
Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,1,train
CCC1CN2CCC1CC2[C@H](O)c1cc(-c2ccsc2)nc2ccc(OC)cc12,0,train
COc1ccc(S(=O)(=O)N2CCN(C(=O)N3CCCCCC3)CC2C(=O)NO)cc1,1,train
CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](N)CO)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,0,train
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCCN=C(N)N)C(N)=O,0,train
CC(C)C[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,0,train
